年度,リーグ,部門,順位,選手名,チーム名,数値,単位,選手ID
2026,Bリーグ,ポイント賞,1,nesre,Brave Revengers,413.3,pt,P0047
2026,Bリーグ,ポイント賞,2,フィーレン,Vertice,325.4,pt,P0164
2026,Bリーグ,ポイント賞,3,dia,チートイズ,253.2,pt,P0023
2026,Bリーグ,ラス回避率賞,1,フィーレン,Vertice,100,%,P0164
2026,Bリーグ,ラス回避率賞,2,喜多剛士@μ,Team MJ lovers,100,%,P0241
2026,Bリーグ,ラス回避率賞,3,小林宏康,Team MJ lovers,100,%,P0275
2026,Bリーグ,最多勝利賞,1,nesre,Brave Revengers,7,勝,P0047
2026,Bリーグ,最多勝利賞,2,Redstar,教室生☆KSC,6,勝,P0051
2026,Bリーグ,最多勝利賞,3,フィーレン,Vertice,6,勝,P0164
2026,Bリーグ,最高得点賞,1,nesre,Brave Revengers,79300,点,P0047
2026,Bリーグ,最高得点賞,2,まんまる,La vie en Rose,77800,点,P0190
2026,Bリーグ,最高得点賞,3,みーやん19,Vertice,74500,点,P0192
2026,Bリーグ,トップ率賞,1,nesre,Brave Revengers,77.8,%,P0047
2026,Bリーグ,トップ率賞,2,★月刃★,さわやかMJ野郎の会,57.1,%,P0006
2026,Bリーグ,トップ率賞,3,Redstar,教室生☆KSC,54.5,%,P0051
